Fecha;Fecha_Apertura;Producto;Ventas;Intereses;Comisiones
30/04/2024;25/01/2020;PCRFA;0.00;0.00;0.00
30/04/2024;28/01/2020;PCRFA;17.70;0.41;0.00
30/04/2024;31/01/2020;PCRFA;19.75;0.58;0.00
30/04/2024;6/03/2020;PVEH;100.51;0.78;0.02
30/04/2024;9/03/2020;PHIP;259.60;1.68;0.01
30/04/2024;9/03/2020;PVEH;17.92;0.14;0.01
30/04/2024;12/03/2020;PHIP;828.98;5.09;0.03
30/04/2024;23/03/2020;PCRFA;1.95;0.04;0.00
30/04/2024;26/03/2020;PCRFA;3.64;0.07;0.00
30/04/2024;1/04/2020;PCRFA;4.03;0.09;0.00
30/04/2024;30/04/2020;PVEH;63.18;0.52;0.01
30/04/2024;12/05/2020;PHIP;264.97;2.02;0.00
30/04/2024;26/05/2020;PCRFA;4.92;0.10;0.00
30/04/2024;29/05/2020;PCRFA;27.21;0.51;0.00
30/04/2024;1/06/2020;PCRFA;16.97;0.47;0.00
30/04/2024;6/07/2020;PHIP;34.37;0.35;0.00
30/04/2024;6/07/2020;PVEH;215.76;1.68;0.13
30/04/2024;9/07/2020;PHIP;2,438.49;19.24;0.09
30/04/2024;9/07/2020;PVEH;178.73;1.60;0.06
30/04/2024;23/07/2020;PCRFA;23.10;0.47;0.00
30/04/2024;29/07/2020;PCRFA;95.87;2.41;0.00
30/04/2024;2/09/2020;PHIP;3,174.73;15.00;0.00
30/04/2024;2/09/2020;PVEH;137.69;1.07;0.02
30/04/2024;8/09/2020;PHIP;1,562.62;8.84;0.04
30/04/2024;11/09/2020;PHIP;591.86;4.02;0.04
30/04/2024;19/09/2020;PCRFA;22.72;0.42;0.00
30/04/2024;22/09/2020;PCRFA;72.21;1.29;0.00
30/04/2024;25/09/2020;PCRFA;87.56;1.86;0.00
30/04/2024;28/09/2020;PCRFA;1,264.99;8.88;0.26
30/04/2024;27/10/2020;PVEH;198.06;1.55;0.01
30/04/2024;30/10/2020;PVEH;16.44;0.16;0.05
